,Participant_ID,Language,Study group,Session order,Treatment,Task_type,Task,Task_D1,Task_D2,Task_D3,Task_D4,Task_E1,Task_E2,Task_E3,Task_E4,Education,Position,year_experience,Completeness,"Implementation time
(minutes)","Questions time
(minutes)",Experiment,All.lines,Num event “didChangeTextEditorUI” during questions,num_valid_questions
91,46,Java,A,Second,NAI,E,E4,0,0,0,0,0,0,0,1,Master,Master,5,10.0,55.85,14.54,S1,712,12,6
92,47,Java,D,First,NAI,E,E4,0,0,0,0,0,0,0,1,Bachelor,Master,3,60.0,52.14,11.63,S1,759,4,5
93,47,Java,D,Second,WAI,D,D4,0,0,0,1,0,0,0,0,Bachelor,Master,3,100.0,52.14,12.43,S1,402,222,5
94,48,Java,C,First,NAI,D,D4,0,0,0,1,0,0,0,0,Bachelor,Master,4,55.0,56.3,16.57,S1,240,4,6
95,48,Java,C,Second,WAI,E,E4,0,0,0,0,0,0,0,1,Bachelor,Master,4,95.0,58.73,16.1,S1,740,26,5
96,49,Java,B,First,WAI,E,E4,0,0,0,0,0,0,0,1,Bachelor,Master,2,75.0,NA,NA,S1,954,,6
97,49,Java,B,Second,NAI,D,D4,0,0,0,1,0,0,0,0,Bachelor,Master,2,32.5,NA,NA,S1,247,,4
98,50,Java,A,First,WAI,D,D4,0,0,0,1,0,0,0,0,Master,Master,10,95.0,40.79,16.68,S1,225,57,6
99,50,Java,A,Second,NAI,E,E4,0,0,0,0,0,0,0,1,Master,Master,10,0.0,45.43,16.35,S1,690,24,5
100,51,Java,D,First,NAI,E,E4,0,0,0,0,0,0,0,1,Bachelor,Master,3,10.0,10.12,11.58,S1,730,14,6
101,51,Java,D,Second,WAI,D,D4,0,0,0,1,0,0,0,0,Bachelor,Master,3,100.0,37.34,14.53,S1,211,158,6
102,52,Java,C,First,NAI,D,D4,0,0,0,1,0,0,0,0,Bachelor,Master,1,42.5,48.78,16.75,S1,121,12,5
103,52,Java,C,Second,WAI,E,E4,0,0,0,0,0,0,0,1,Bachelor,Master,1,80.0,40.68,18.65,S1,706,138,5
104,53,Java,B,First,WAI,E,E4,0,0,0,0,0,0,0,1,Bachelor,Master,2,75.0,50.89,15.55,S1,684,129,6
105,53,Java,B,Second,NAI,D,D4,0,0,0,1,0,0,0,0,Bachelor,Master,2,35.0,42.09,14.74,S1,145,6,6
106,54,Java,A,First,WAI,D,D4,0,0,0,1,0,0,0,0,Bachelor,Master,6,66.0,31.48,12.1,S1,198,142,5
107,54,Java,A,Second,NAI,E,E4,0,0,0,0,0,0,0,1,Bachelor,Master,6,10.0,46.73,12.81,S1,716,30,6
108,55,Java,D,First,NAI,E,E4,0,0,0,0,0,0,0,1,Bachelor,Master,5,10.0,NA,NA,S1,915,,6
109,55,Java,D,Second,WAI,D,D4,0,0,0,1,0,0,0,0,Bachelor,Master,5,100.0,NA,NA,S1,346,62,6
110,56,Java,B,First,WAI,E,E4,0,0,0,0,0,0,0,1,Bachelor,Master,3,75.0,52.38,16.72,S1,740,157,6
111,56,Java,B,Second,NAI,D,D4,0,0,0,1,0,0,0,0,Bachelor,Master,3,65.0,55.52,15.03,S1,172,30,4
112,57,Java,A,First,WAI,D,D4,0,0,0,1,0,0,0,0,Bachelor,Master,4,100.0,34.06,16.2,S1,269,18,6
113,57,Java,A,Second,NAI,E,E4,0,0,0,0,0,0,0,1,Bachelor,Master,4,5.0,47.27,16.91,S1,729,30,6
114,58,Python,B,First,WAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,13,90.0,31.6,13.11,U1,107,108,8
115,58,Python,B,Second,NAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,13,60.0,73.48,12.82,U1,76,17,9
116,59,Python,D,First,NAI,E,E1,0,0,0,0,1,0,0,0,PhD,Professional developer,6,10.0,62.76,11.36,S3,87,20,8
117,59,Python,D,Second,WAI,D,D1,1,0,0,0,0,0,0,0,PhD,Professional developer,6,70.0,26.84,11.36,S3,82,42,8
118,60,Python,B,First,WAI,E,E1,0,0,0,0,1,0,0,0,Bachelor,Professional developer,1,75.0,45.66,16.0,S3,125,11,9
119,60,Python,B,Second,NAI,D,D1,1,0,0,0,0,0,0,0,Bachelor,Professional developer,1,10.0,70.32,7.82,S3,34,28,7
120,61,Python,D,First,NAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,5,0.0,62.18,15.2,S3,100,40,8
121,61,Python,D,Second,WAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,5,80.0,49.75,18.31,S3,129,188,9
122,62,Python,A,First,WAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,2,85.0,55.13,14.39,S3,282,132,9
123,62,Python,A,Second,NAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,2,35.0,66.33,7.48,S3,100,16,8
124,63,Python,C,First,NAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,4,40.0,69.57,7.74,S3,20,13,7
125,63,Python,C,Second,WAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,4,95.0,24.18,9.69,S3,121,28,8
126,64,Python,D,First,NAI,E,E1,0,0,0,0,1,0,0,0,Master,Professional developer,5,25.0,61.92,10.5,S3,102,27,9
127,64,Python,D,Second,WAI,D,D1,1,0,0,0,0,0,0,0,Master,Professional developer,5,85.0,10.44,14.2,S3,122,51,8
128,65,Python,A,First,WAI,D,D1,1,0,0,0,0,0,0,0,Bachelor,Professional developer,2,70.0,66.7,12.77,S3,73,214,8
129,65,Python,A,Second,NAI,E,E1,0,0,0,0,1,0,0,0,Bachelor,Professional developer,2,60.0,65.65,8.64,S3,108,20,8
130,66,Python,B,First,WAI,E,E1,0,0,0,0,1,0,0,0,Master,PhD Student,5,100.0,27.1,15.11,S3,120,8,8
131,66,Python,B,Second,NAI,D,D1,1,0,0,0,0,0,0,0,Master,PhD Student,5,50.0,72.49,9.71,S3,45,6,7
132,67,Java,C,First,NAI,D,D2,0,1,0,0,0,0,0,0,Bachelor,Bachelor,4,5.0,57.54,7.52,M1,61,18,8
133,67,Java,C,Second,WAI,E,E2,0,0,0,0,0,1,0,0,Bachelor,Bachelor,4,85.0,32.43,5.24,M1,203,30,8
134,68,Java,C,First,NAI,D,D2,0,1,0,0,0,0,0,0,Bachelor,Bachelor,1,40.0,74.01,15.88,M1,153,40,8
135,68,Java,C,Second,WAI,E,E2,0,0,0,0,0,1,0,0,Bachelor,Bachelor,1,45.0,70.81,9.46,M1,172,366,8
136,69,Java,C,First,NAI,D,D2,0,1,0,0,0,0,0,0,Bachelor,Bachelor,2,77.0,72.66,18.21,M1,128,52,8
137,69,Java,C,Second,WAI,E,E2,0,0,0,0,0,1,0,0,Bachelor,Bachelor,2,90.0,21.11,15.94,M1,220,108,8
