,Participant_ID,Language,Study group,Session order,Treatment,Task_type,Task,Task_D1,Task_D2,Task_D3,Task_D4,Task_E1,Task_E2,Task_E3,Task_E4,Education,Position,year_experience,Completeness,question_score,Experiment,Task_Questions_type,All lines,Comment lines,Blank lines,Code lines
10,6,Java,C,First,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,4,55.0,0,M1,open,199,0,45,154
10,6,Java,C,First,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,4,55.0,1,M1,open,199,0,45,154
10,6,Java,C,First,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,4,55.0,1,M1,open,199,0,45,154
11,6,Java,C,Second,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,4,90.0,0,M1,closed,213,0,32,181
11,6,Java,C,Second,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,4,90.0,1,M1,closed,213,0,32,181
11,6,Java,C,Second,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,4,90.0,1,M1,closed,213,0,32,181
11,6,Java,C,Second,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,4,90.0,1,M1,closed,213,0,32,181
11,6,Java,C,Second,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,4,90.0,0,M1,closed,213,0,32,181
11,6,Java,C,Second,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,4,90.0,0,M1,open,213,0,32,181
11,6,Java,C,Second,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,4,90.0,1,M1,open,213,0,32,181
11,6,Java,C,Second,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,4,90.0,0,M1,open,213,0,32,181
12,7,Java,D,First,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,65.0,1,M1,closed,185,0,25,160
12,7,Java,D,First,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,65.0,1,M1,closed,185,0,25,160
12,7,Java,D,First,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,65.0,1,M1,closed,185,0,25,160
12,7,Java,D,First,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,65.0,1,M1,closed,185,0,25,160
12,7,Java,D,First,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,65.0,1,M1,closed,185,0,25,160
12,7,Java,D,First,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,65.0,1,M1,closed,185,0,25,160
12,7,Java,D,First,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,65.0,1,M1,open,185,0,25,160
12,7,Java,D,First,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,65.0,0,M1,open,185,0,25,160
13,7,Java,D,Second,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,100.0,1,M1,closed,190,4,31,155
13,7,Java,D,Second,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,100.0,1,M1,closed,190,4,31,155
13,7,Java,D,Second,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,100.0,0,M1,closed,190,4,31,155
13,7,Java,D,Second,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,100.0,0,M1,closed,190,4,31,155
13,7,Java,D,Second,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,100.0,0,M1,open,190,4,31,155
13,7,Java,D,Second,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,100.0,0,M1,open,190,4,31,155
13,7,Java,D,Second,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,100.0,0,M1,open,190,4,31,155
14,8,Java,A,First,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,5,52.0,1,M1,closed,183,0,33,150
14,8,Java,A,First,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,5,52.0,1,M1,closed,183,0,33,150
14,8,Java,A,First,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,5,52.0,0,M1,closed,183,0,33,150
14,8,Java,A,First,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,5,52.0,0,M1,closed,183,0,33,150
14,8,Java,A,First,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,5,52.0,0,M1,closed,183,0,33,150
14,8,Java,A,First,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,5,52.0,1,M1,closed,183,0,33,150
14,8,Java,A,First,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,5,52.0,0,M1,open,183,0,33,150
14,8,Java,A,First,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,5,52.0,1,M1,open,183,0,33,150
15,8,Java,A,Second,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,5,10.0,1,M1,closed,132,0,20,112
15,8,Java,A,Second,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,5,10.0,1,M1,closed,132,0,20,112
15,8,Java,A,Second,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,5,10.0,1,M1,closed,132,0,20,112
15,8,Java,A,Second,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,5,10.0,1,M1,closed,132,0,20,112
15,8,Java,A,Second,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,5,10.0,1,M1,open,132,0,20,112
15,8,Java,A,Second,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,5,10.0,1,M1,open,132,0,20,112
16,9,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,92.0,1,M1,closed,294,13,32,249
16,9,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,92.0,1,M1,closed,294,13,32,249
16,9,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,92.0,1,M1,closed,294,13,32,249
16,9,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,92.0,1,M1,closed,294,13,32,249
16,9,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,92.0,1,M1,closed,294,13,32,249
16,9,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,92.0,1,M1,closed,294,13,32,249
16,9,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,92.0,1,M1,open,294,13,32,249
16,9,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,92.0,1,M1,open,294,13,32,249
16,9,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,92.0,1,M1,open,294,13,32,249
17,9,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,57.0,1,M1,closed,287,0,32,255
17,9,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,57.0,1,M1,closed,287,0,32,255
17,9,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,57.0,1,M1,closed,287,0,32,255
17,9,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,57.0,1,M1,closed,287,0,32,255
17,9,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,57.0,1,M1,closed,287,0,32,255
17,9,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,57.0,1,M1,closed,287,0,32,255
17,9,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,57.0,1,M1,open,287,0,32,255
17,9,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,57.0,1,M1,open,287,0,32,255
17,9,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,57.0,1,M1,open,287,0,32,255
18,10,Java,C,First,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,33.0,1,M1,closed,155,0,33,122
18,10,Java,C,First,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,33.0,1,M1,closed,155,0,33,122
18,10,Java,C,First,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,33.0,1,M1,closed,155,0,33,122
18,10,Java,C,First,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,33.0,1,M1,closed,155,0,33,122
18,10,Java,C,First,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,33.0,1,M1,closed,155,0,33,122
18,10,Java,C,First,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,33.0,1,M1,open,155,0,33,122
18,10,Java,C,First,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,3,33.0,1,M1,open,155,0,33,122
19,10,Java,C,Second,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,48.0,1,M1,closed,211,8,34,169
19,10,Java,C,Second,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,48.0,1,M1,closed,211,8,34,169
19,10,Java,C,Second,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,48.0,1,M1,closed,211,8,34,169
19,10,Java,C,Second,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,48.0,0,M1,closed,211,8,34,169
19,10,Java,C,Second,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,48.0,1,M1,open,211,8,34,169
19,10,Java,C,Second,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,48.0,1,M1,open,211,8,34,169
19,10,Java,C,Second,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,3,48.0,1,M1,open,211,8,34,169
20,11,Java,A,First,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,1,100.0,0,M1,closed,245,7,44,194
20,11,Java,A,First,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,1,100.0,1,M1,closed,245,7,44,194
20,11,Java,A,First,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,1,100.0,1,M1,closed,245,7,44,194
20,11,Java,A,First,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,1,100.0,0,M1,closed,245,7,44,194
20,11,Java,A,First,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,1,100.0,1,M1,closed,245,7,44,194
20,11,Java,A,First,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,1,100.0,1,M1,closed,245,7,44,194
20,11,Java,A,First,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,1,100.0,1,M1,open,245,7,44,194
21,11,Java,A,Second,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,1,86.0,1,M1,closed,240,0,22,218
21,11,Java,A,Second,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,1,86.0,1,M1,closed,240,0,22,218
21,11,Java,A,Second,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,1,86.0,1,M1,closed,240,0,22,218
21,11,Java,A,Second,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,1,86.0,0,M1,closed,240,0,22,218
21,11,Java,A,Second,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,1,86.0,1,M1,closed,240,0,22,218
21,11,Java,A,Second,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,1,86.0,0,M1,open,240,0,22,218
21,11,Java,A,Second,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,1,86.0,0,M1,open,240,0,22,218
21,11,Java,A,Second,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,1,86.0,0,M1,open,240,0,22,218
22,12,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,5,80.0,1,M1,closed,285,1,45,239
22,12,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,5,80.0,1,M1,closed,285,1,45,239
22,12,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,5,80.0,1,M1,closed,285,1,45,239
22,12,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,5,80.0,1,M1,closed,285,1,45,239
22,12,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,5,80.0,1,M1,closed,285,1,45,239
22,12,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,5,80.0,1,M1,open,285,1,45,239
23,12,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,5,70.0,1,M1,closed,164,0,47,117
23,12,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,5,70.0,1,M1,closed,164,0,47,117
23,12,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,5,70.0,1,M1,closed,164,0,47,117
23,12,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,5,70.0,1,M1,closed,164,0,47,117
23,12,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,5,70.0,1,M1,closed,164,0,47,117
23,12,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,5,70.0,1,M1,closed,164,0,47,117
23,12,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,5,70.0,1,M1,open,164,0,47,117
23,12,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,5,70.0,1,M1,open,164,0,47,117
23,12,Java,B,Second,NAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,5,70.0,1,M1,open,164,0,47,117
24,13,Java,A,First,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,4,82.0,1,M1,closed,175,1,20,154
24,13,Java,A,First,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,4,82.0,1,M1,closed,175,1,20,154
24,13,Java,A,First,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,4,82.0,1,M1,closed,175,1,20,154
24,13,Java,A,First,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,4,82.0,1,M1,closed,175,1,20,154
24,13,Java,A,First,WAI,D,D2,0,1,0,0,0,0,0,0,High school,Bachelor,4,82.0,1,M1,open,175,1,20,154
25,13,Java,A,Second,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,4,50.0,1,M1,closed,182,0,32,150
25,13,Java,A,Second,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,4,50.0,1,M1,closed,182,0,32,150
25,13,Java,A,Second,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,4,50.0,1,M1,closed,182,0,32,150
25,13,Java,A,Second,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,4,50.0,1,M1,closed,182,0,32,150
25,13,Java,A,Second,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,4,50.0,1,M1,open,182,0,32,150
25,13,Java,A,Second,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,4,50.0,1,M1,open,182,0,32,150
25,13,Java,A,Second,NAI,E,E2,0,0,0,0,0,1,0,0,High school,Bachelor,4,50.0,1,M1,open,182,0,32,150
26,14,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,Bachelor,Master,6,72.0,1,M1,closed,226,0,35,191
26,14,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,Bachelor,Master,6,72.0,1,M1,closed,226,0,35,191
26,14,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,Bachelor,Master,6,72.0,0,M1,closed,226,0,35,191
26,14,Java,B,First,WAI,E,E2,0,0,0,0,0,1,0,0,Bachelor,Master,6,72.0,0,M1,closed,226,0,35,191
